"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS","WT01","WT02","WT03","WT04","WT05","WT08","WT11"
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-01",,,"0.03",,"1",,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-02",,,"0.07",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-03",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-04",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-06",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-07",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-08",,,"0.19",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-09",,,"1.21",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-10",,,"0.16",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-11",,,"0.04",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-12",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-16",,,"0.00","0.0",,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-17",,,"0.01",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-18",,,"3.16",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-19",,,"4.45",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-20",,,"1.95",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-21",,,"0.02",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-22",,,"0.22",,,,,,,,,,,,,
"US1WAJF0014","BRINNON 1.7 WSW, WA US","47.6668","-122.9287","202.7","2017-01-23",,,"0.28",,,,,,,,,,,,,
