STATION,NAME,DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/1/2017,0.03,,1,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/2/2017,0.07,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/3/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/4/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/6/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/7/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/8/2017,0.19,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/9/2017,1.21,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/10/2017,0.16,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/11/2017,0.04,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/12/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/16/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/17/2017,0.01,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/18/2017,3.16,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/19/2017,4.45,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/20/2017,1.95,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/21/2017,0.02,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/22/2017,0.22,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/23/2017,0.28,,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/24/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/25/2017,0,0,,,,
US1WAJF0014,"BRINNON 1.7 WSW, WA US",1/26/2017,0,0,,,,
